kx ky BerryCurvature
0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
1.570796326794896558e-01 0.000000000000000000e+00 2.371692252312040949e-20
3.141592653589793116e-01 0.000000000000000000e+00 -1.219727444046192488e-19
4.712388980384690229e-01 0.000000000000000000e+00 -6.437450399132682577e-20
6.283185307179586232e-01 0.000000000000000000e+00 -1.151964808265848461e-19
7.853981633974482790e-01 0.000000000000000000e+00 2.778268066994105112e-19
9.424777960769380458e-01 0.000000000000000000e+00 2.473336205982556990e-19
1.099557428756427591e+00 0.000000000000000000e+00 -3.422013106907373370e-19
1.256637061435917246e+00 0.000000000000000000e+00 3.760826285809093505e-19
1.413716694115406902e+00 0.000000000000000000e+00 -3.794707603699265519e-19
1.570796326794896558e+00 0.000000000000000000e+00 -4.607859233063393845e-19
1.727875959474386436e+00 0.000000000000000000e+00 6.844026213814746740e-19
1.884955592153876092e+00 0.000000000000000000e+00 -1.680513367352531873e-18
2.042035224833365525e+00 0.000000000000000000e+00 -2.256495771485456103e-18
2.199114857512855181e+00 0.000000000000000000e+00 4.458781434346636985e-18
2.356194490192344837e+00 0.000000000000000000e+00 2.927345865710861972e-18
2.513274122871834493e+00 0.000000000000000000e+00 -1.788933584601082316e-18
2.670353755551324593e+00 0.000000000000000000e+00 6.179952383167375274e-18
2.827433388230813804e+00 0.000000000000000000e+00 -4.065758146820641628e-18
2.984513020910303460e+00 0.000000000000000000e+00 2.005774019098183203e-18
3.141592653589793116e+00 0.000000000000000000e+00 5.204170427930421283e-18
3.298672286269282772e+00 0.000000000000000000e+00 -1.870248747537495149e-17
3.455751918948772872e+00 0.000000000000000000e+00 6.722053469410127491e-18
3.612831551628262527e+00 0.000000000000000000e+00 -1.788933584601082316e-18
3.769911184307752183e+00 0.000000000000000000e+00 -3.821812658011403130e-18
3.926990816987241395e+00 0.000000000000000000e+00 2.412349833780247366e-18
4.084070449666731051e+00 0.000000000000000000e+00 -2.710505431213761085e-19
4.241150082346220707e+00 0.000000000000000000e+00 -2.236166980751352895e-19
4.398229715025710362e+00 0.000000000000000000e+00 -2.710505431213761085e-18
4.555309347705200906e+00 0.000000000000000000e+00 1.395910297075086959e-18
4.712388980384689674e+00 0.000000000000000000e+00 -1.002887009549091601e-18
4.869468613064179330e+00 0.000000000000000000e+00 -6.166399856011306468e-19
5.026548245743668986e+00 0.000000000000000000e+00 -4.472333961502705790e-19
5.183627878423158641e+00 0.000000000000000000e+00 -3.218725199566341288e-19
5.340707511102649185e+00 0.000000000000000000e+00 -4.946672411965113980e-19
5.497787143782137953e+00 0.000000000000000000e+00 3.659182332138577465e-19
5.654866776461627609e+00 0.000000000000000000e+00 -3.625301014248405451e-19
5.811946409141117265e+00 0.000000000000000000e+00 9.486769009248163798e-20
5.969026041820606920e+00 0.000000000000000000e+00 1.253608761936364502e-19
6.126105674500097464e+00 0.000000000000000000e+00 2.710505431213761085e-20
0.000000000000000000e+00 1.570796326794896558e-01 -0.000000000000000000e+00
1.570796326794896558e-01 1.570796326794896558e-01 3.301006347095891409e-08
3.141592653589793116e-01 1.570796326794896558e-01 1.361906298242802221e-07
4.712388980384690229e-01 1.570796326794896558e-01 3.227087645173180923e-07
6.283185307179586232e-01 1.570796326794896558e-01 6.170577501180618199e-07
7.853981633974482790e-01 1.570796326794896558e-01 1.059488519913201620e-06
9.424777960769380458e-01 1.570796326794896558e-01 1.713598432796900688e-06
1.099557428756427591e+00 1.570796326794896558e-01 2.678890858504831177e-06
1.256637061435917246e+00 1.570796326794896558e-01 4.111348814216256158e-06
